,pilot,mp,archetype,deck_uuid,place
538,Derrick Winburn,12,Mono-Red Aggro,ce110391-f89d-40ad-9823-b2d1013ef89e,539
539,Zoe Elisa Clapacs,12,Mono-Red Aggro,a9bbc1e6-e6d4-42ef-a697-b2d100f535a4,540
540,Josh Gilchrist,12,Izzet Prowess,8b95e1ec-6684-4ef7-92d9-b2d1016db3c8,541
541,Ben Zhang,12,Izzet Prowess,b2a1f9e8-1154-44f7-8941-b2d100dbe299,542
542,Ethan De Luna,12,Izzet Prowess,b53237ab-af8d-4265-b5d0-b2d101058667,543
543,Max Hersch,12,Izzet Prowess,64de5300-8e71-4177-92f2-b2cd014f3ce4,544
544,Benjamin Hewitt,12,Izzet Prowess,fc2cb739-006d-48a2-9df8-b2d1016dc923,545
545,AJSimon,12,Mono-Red Aggro,8f8bb5aa-fd8b-4248-b791-b2d10130ad94,546
546,TylerW,12,Mono-Red Aggro,eb5c1a11-164b-4c06-afd0-b2d1015972e2,547
547,Bryan Rockenbach,12,Zur Overlords,874f3361-aaaf-4574-a0e6-b2cf018451c6,548
548,Cody Jager,12,Izzet Prowess,d1abf3a1-c5e3-4238-8b47-b2d1014f33cd,549
549,Jonathan Hobbs,12,Jeskai Oculus,cd94cad6-6845-451c-be40-b2d100264e50,550
550,Erik43,12,Izzet Prowess,d1d726eb-e21f-48c3-9429-b2d100466ce6,551
551,Thomas Graves,12,Azorius Control,7225c793-1614-4b96-8478-b2d10110b5ef,552
552,Cael Lindsey,12,Jeskai Control,43af5bde-1059-4c82-814d-b2d10156afd6,553
553,GregM,12,Izzet Prowess,32232f43-4235-436d-9e0b-b2d100fbd0f0,554
554,MastuDenton,12,Gruul Leyline,76d51eee-6c41-4ded-be2d-b2d1016789b7,555
555,domc6,12,Gruul Aggro,6d26bab0-4645-480a-abee-b2d1016cc0ed,556
556,Ryan Hayes,12,Izzet Prowess,df55b5be-3424-441f-8b05-b2d0013ae7c3,557
557,Nick Ingram,12,Jeskai Oculus,8410bdc8-5209-4840-9343-b2d101694d40,558
558,ryan bowen,12,Izzet Prowess,384c9f06-9a0c-4db0-885b-b2d1011c0dd3,559
559,Jeffrey Kruchkow,12,Azorius Omniscience,7838fe2d-5503-4641-967c-b2d0014f228d,560
560,Matt Tumavitch,12,Izzet Prowess,0e0bf00a-0a96-49cc-a092-b2d100e96e14,561
